Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_335.jpg;0;0;0.95809;0;43.33867;95.55202;-0.003050513;354.2487;4.080333E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_376.jpg;0;0;1;0;43.33867;95.55202;-0.002470726;354.2487;5.09617E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_453.jpg;0;0;1;0;43.33867;95.55201;-0.001330729;354.2487;7.278129E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_493.jpg;0;0;1;0;43.33867;95.55201;-0.0007795449;354.2487;9.124054E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_533.jpg;0;0;1;0;43.33868;95.55201;-0.0002469579;354.2487;9.658001E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_615.jpg;0;0;1;0;43.33868;95.55201;0.0007487746;354.2487;1.078897E-05
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_655.jpg;0;0;1;0;43.33868;95.55201;0.001206422;354.2487;1.103423E-05
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_696.jpg;0;0;1;0;43.33868;95.55201;0.001632719;354.2487;1.114038E-05
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_777.jpg;0;0;1;0;43.33868;95.552;0.002384745;354.2487;1.136315E-05
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_857.jpg;0;0;1;0;43.33867;95.552;0.002991925;354.2487;1.005268E-05
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_936.jpg;0;0;1;0;43.33867;95.552;0.003449125;354.2487;8.688855E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_20_977.jpg;0;0;1;0;43.33867;95.552;0.003620315;354.2487;7.6923E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_057.jpg;0;0;1;0;43.33868;95.552;0.003851063;354.2487;6.362656E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_136.jpg;0;0;1;0;43.33868;95.552;0.003937105;354.2487;5.244371E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_176.jpg;0;0;1;0;43.33868;95.552;0.003929519;354.2487;4.334527E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_254.jpg;0;0;1;0;43.33867;95.552;0.003821488;354.2487;2.458976E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_294.jpg;0;0;0;0;43.33867;95.552;0.003725408;354.2487;1.864086E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_375.jpg;0;0.1191788;0;0;43.33795;95.55208;359.9872;354.2483;-4.677412E-07
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_454.jpg;0;0.3588544;0;0.01131069;43.34022;95.55184;0.0380568;354.2258;2.482948E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_541.jpg;0;0.5986284;0;0.04414792;43.34756;95.55109;0.1877269;354.0067;0.0005108595
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_618.jpg;0;0.8446568;0;0.07824659;43.35603;95.55021;0.3531855;353.9761;0.0008139552
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_657.jpg;0;0.9671463;0;0.1145154;43.36363;95.54935;0.4893653;353.9232;-0.001185588
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_737.jpg;0;1;0;0.1767829;43.38313;95.5472;0.7935296;353.9352;-0.001244414
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_778.jpg;0;1;0;0.2081895;43.39585;95.54587;0.9748503;354.0045;-0.00103471
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_853.jpg;0;1;0;0.2727005;43.42367;95.54284;1.293929;354.0556;-0.003279647
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_895.jpg;0;1;0;0.3078792;43.43782;95.54099;1.336994;354.2194;-0.005023317
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_21_974.jpg;0;1;0;0.3789706;43.46539;95.53773;1.144453;354.1575;0.000244228
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_014.jpg;0;1;0;0.4324634;43.48213;95.53594;1.087989;354.1816;-0.0007914307
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_094.jpg;0;1;0;0.4982732;43.5213;95.53181;1.071826;354.2191;-0.00108667
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_136.jpg;0;1;0;0.519547;43.54329;95.52953;1.096928;354.3047;-0.001336454
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_177.jpg;0;1;0;0.5413556;43.56724;95.52706;1.149573;354.2856;0.0002871392
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_220.jpg;0;1;0;0.5859759;43.60451;95.52317;1.213496;354.2515;-0.0002749768
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_293.jpg;0;1;0;0.6400741;43.64428;95.51902;1.239271;354.2574;-0.001833694
